SAL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SAL50817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50819,58,119,0,0,7,24,0,6,41,156,49,196,0,0,3,7,11,31,12,35,64,228,0,0,3,6,0,0,4,22,6,23,0,0,0,0,3,7,0,8,12,30,0,0,129,375
SAL50820,0,6,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22
SAL50821,0,3,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
SAL50822,8,13,0,4,0,0,0,0,8,21,6,25,3,3,3,4,0,0,6,4,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,22,54
SAL50823,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16
SAL50824,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9
SAL50825,3,7,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,14
SAL50826,9,15,0,0,0,0,0,0,8,40,12,41,0,0,0,0,0,0,0,0,12,41,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,21,58
SAL50827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50828,583,1127,16,65,84,370,25,131,534,2030,655,2591,32,117,55,168,72,221,154,504,814,3097,9,40,26,91,23,75,153,441,213,647,14,34,23,57,75,157,114,248,318,892,8,22,1729,5136
SAL50829,203,385,0,9,16,91,11,45,179,696,212,847,11,61,9,37,41,129,67,223,283,1072,0,9,0,6,5,12,33,71,39,98,0,5,4,9,28,57,36,69,68,169,5,13,553,1634
SAL50830,107,213,0,9,3,26,0,7,24,94,34,132,0,0,0,0,8,19,8,19,40,150,0,0,0,0,0,4,6,8,9,13,0,0,0,0,7,15,7,15,15,27,0,4,164,392
SAL50831,1065,2111,57,330,245,1135,69,327,1534,5984,1908,7779,156,652,211,729,445,1433,804,2820,2707,10594,14,56,26,103,21,70,195,501,252,727,32,107,47,102,133,309,212,519,467,1243,43,88,4283,14042
SAL50832,66,135,0,0,4,14,0,0,20,74,22,89,0,5,3,5,10,19,10,27,30,116,0,0,0,7,0,3,3,9,5,21,0,0,0,0,3,5,3,5,11,29,3,4,108,285
SAL50833,387,787,22,145,69,327,20,90,345,1356,456,1917,32,137,39,145,106,342,177,626,632,2544,0,10,20,81,7,30,108,280,136,391,18,63,13,32,136,299,161,397,305,788,49,104,1368,4226
SAL50834,3,7,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,3,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,7,25
SAL50835,390,771,6,28,49,200,5,21,263,984,318,1233,21,96,39,133,61,195,121,419,436,1655,0,6,4,12,5,10,48,99,53,132,10,29,11,26,37,75,55,130,113,258,30,64,966,2737
SAL50836,40,91,0,0,3,24,3,19,12,67,21,104,0,0,0,6,3,13,4,18,29,121,0,0,0,0,5,11,14,60,17,78,0,0,0,3,4,8,4,8,18,83,6,12,95,310
SAL50837,4,8,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13
SAL50838,227,442,13,66,36,171,28,115,202,787,272,1136,16,76,15,49,77,239,110,370,379,1504,5,34,18,59,9,44,99,310,136,449,8,19,15,21,68,134,83,173,212,623,17,48,844,2613
SAL50839,52,97,0,0,0,0,0,0,0,6,0,6,0,0,3,3,0,6,7,15,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,7,11,6,15,0,4,67,143
SAL50840,496,966,0,21,15,62,0,3,197,696,216,784,7,31,18,57,28,80,53,177,273,961,4,11,11,32,0,0,42,90,50,131,0,0,19,42,34,81,53,118,109,248,23,48,895,2223
SAL50841,47,93,0,4,4,23,0,3,13,46,18,75,0,0,0,5,4,18,9,19,23,94,0,0,0,0,0,0,3,8,3,8,0,4,0,0,0,0,0,4,5,7,0,0,79,203
SAL50842,1264,2512,12,73,184,806,29,127,762,2973,989,3983,109,448,181,629,363,1146,657,2229,1642,6206,6,19,33,109,3,17,88,226,127,373,21,55,37,90,157,328,212,471,343,838,21,52,3273,9609
SAL50843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50844,37,61,0,0,3,11,0,6,46,183,47,208,0,0,0,0,0,4,0,4,50,212,0,0,0,0,0,0,8,20,7,16,0,0,0,0,5,5,3,6,8,29,0,4,100,306
SAL50845,24,50,0,0,3,16,0,6,12,48,17,65,0,5,3,9,10,24,10,40,30,102,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,7,5,7,9,11,0,0,52,162
SAL50846,58,114,0,0,4,17,4,13,21,75,28,102,0,6,0,3,7,21,8,29,35,131,0,11,0,0,4,15,12,36,18,63,0,0,0,0,8,18,8,18,23,83,0,0,113,325
SAL50847,418,812,14,65,53,228,15,63,193,782,270,1132,20,82,31,94,98,289,149,460,418,1593,0,0,3,9,0,10,25,62,31,80,0,3,11,23,19,35,32,60,58,143,6,7,901,2562
SAL50848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50849,907,1806,18,114,144,659,26,121,530,2109,730,3008,87,361,97,337,238,745,422,1448,1150,4457,9,35,20,81,13,49,85,218,126,382,17,58,26,62,88,187,136,308,260,691,20,39,2334,6993
SAL50850,9,14,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,5,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28
SAL50851,4,5,0,0,0,5,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13
SAL50852,12,24,0,0,0,9,0,0,3,7,6,15,0,7,0,0,0,3,5,12,9,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,18,49
SAL50853,230,448,0,4,22,93,10,36,88,348,117,485,9,41,10,34,35,111,54,181,173,669,0,3,3,16,0,4,16,41,25,66,0,8,3,3,15,36,16,41,44,106,3,5,445,1225
SAL50854,3,8,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13
SAL50855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50857,269,531,8,51,33,162,15,90,160,634,216,925,8,43,17,53,59,193,88,291,305,1223,5,17,15,42,10,36,95,251,121,351,14,32,23,59,96,207,133,297,247,648,35,73,858,2472
SAL50858,107,217,5,21,13,59,5,35,55,202,79,315,5,18,3,16,17,68,27,100,104,412,0,3,3,12,0,6,53,145,55,170,0,5,14,21,22,50,32,82,94,247,4,13,310,893
SAL50859,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
SAL50860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50861,11,20,0,0,0,3,0,0,3,21,9,22,0,0,0,3,0,0,3,9,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,48
SAL50862,40,74,0,0,0,0,0,9,9,27,8,34,3,9,3,5,4,6,6,17,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,129
SAL50863,262,507,13,91,37,177,24,105,146,605,229,979,19,80,24,69,76,233,118,384,342,1362,0,0,6,23,6,9,22,55,28,95,3,11,4,11,24,45,30,69,58,155,0,0,664,2029
SAL50864,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,4,9
SAL50865,263,522,0,10,26,102,13,41,105,411,138,561,6,28,22,59,51,145,77,237,214,799,0,0,3,26,3,15,18,63,34,101,3,3,4,18,28,58,35,80,70,185,3,7,549,1514
SAL50866,32,58,0,0,0,8,0,4,4,15,7,29,0,0,0,0,6,11,5,14,13,44,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,3,4,0,0,44,103
SAL50867,17,31,0,5,3,15,0,4,7,36,17,65,0,0,0,0,0,0,0,0,14,67,0,0,0,0,0,3,4,3,5,11,0,0,0,0,0,0,0,0,5,11,0,0,37,107
SAL50868,12,23,0,0,0,5,0,0,4,16,5,17,0,5,5,8,0,6,3,11,11,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,52
SAL50869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,7,9,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9
SAL50870,3,6,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,3,11
SAL50871,352,688,4,9,44,214,9,54,267,1039,331,1314,6,42,31,104,64,198,103,348,435,1653,3,5,12,38,9,21,52,130,72,195,5,20,13,26,63,130,79,178,153,370,26,58,960,2772
SAL50872,0,0,0,0,0,4,0,0,0,5,6,6,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
SAL50873,911,1795,66,405,175,835,52,266,838,3283,1124,4789,83,361,82,274,213,694,381,1328,1507,6116,3,29,43,151,25,101,222,602,297,888,23,70,51,106,218,478,286,651,585,1537,57,119,3058,9568
SAL50874,630,1246,21,104,99,418,28,103,600,2301,744,2927,55,234,76,268,142,456,275,965,1020,3888,0,11,22,87,10,19,91,212,121,324,13,34,29,69,82,193,122,297,244,625,8,26,1900,5781
SAL50875,422,809,12,42,58,270,15,70,296,1139,382,1530,31,129,45,150,91,275,169,552,550,2080,6,11,7,34,8,24,60,154,77,219,3,18,11,26,35,73,51,118,128,337,7,19,1104,3255
SAL50876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50877,0,4,0,0,0,0,0,0,3,13,3,13,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19
SAL50878,5,12,0,0,0,0,0,0,4,9,4,9,0,3,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20
SAL50879,115,217,3,15,13,74,3,12,45,177,70,280,11,37,9,18,25,84,36,135,109,419,4,9,0,0,0,0,10,17,12,25,0,0,0,6,10,24,12,29,21,50,0,0,241,689
SAL50880,86,162,0,0,3,9,0,3,42,176,46,191,0,9,8,17,12,38,20,63,69,256,0,0,6,16,0,9,22,50,30,76,0,0,3,6,15,38,21,49,49,122,5,5,203,543
SAL50881,563,1112,9,58,52,257,17,75,283,1090,360,1475,37,158,37,138,130,410,211,708,568,2185,3,12,13,36,11,35,58,156,86,243,6,26,17,35,75,164,99,228,183,466,16,39,1337,3800
SAL50882,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10
SAL50883,8,19,0,0,0,0,0,0,4,14,4,14,0,0,0,0,0,5,0,5,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,36
SAL50884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,4,0
SAL50885,7,9,0,0,0,0,0,0,3,12,3,12,0,0,0,6,0,10,4,11,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,35
SAL50886,3,10,0,0,0,0,0,0,4,20,4,20,0,0,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,27
SAL50887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50888,3,4,0,5,0,0,0,0,0,4,4,7,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15
SAL50889,20,40,0,0,0,0,0,5,11,38,10,45,0,0,0,3,4,14,5,12,13,61,0,0,0,0,0,0,3,5,3,5,0,0,0,0,0,6,0,6,0,8,0,0,39,106
SAL50890,1018,1975,11,46,35,149,20,76,228,843,289,1114,9,41,27,102,102,316,143,459,427,1567,4,29,26,94,13,43,235,604,280,772,5,18,37,75,207,422,254,518,533,1297,65,125,2044,4965
SAL50891,505,987,6,39,34,148,20,90,240,936,299,1218,16,73,18,78,54,164,92,314,387,1537,3,13,19,67,10,32,73,204,101,314,0,13,12,26,64,132,79,175,182,487,21,46,1094,3055
SAL50892,8,13,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,22
SAL50893,387,777,15,79,50,225,4,17,317,1207,384,1533,22,95,76,248,66,215,167,562,550,2089,3,13,16,50,8,21,60,153,85,232,5,21,16,36,58,119,82,181,167,415,30,68,1139,3347
SAL50894,8,22,0,3,0,13,0,5,7,47,15,64,0,0,0,0,0,0,0,0,15,64,0,9,0,0,0,4,0,6,4,19,0,0,4,4,0,0,4,4,4,20,0,6,34,115
SAL50895,22,50,0,0,3,13,0,7,4,28,13,37,0,0,0,6,3,9,4,10,16,49,0,0,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,6,9,0,0,37,104
SAL50896,893,1782,31,201,120,582,32,156,627,2480,810,3410,101,428,92,323,317,1027,508,1775,1323,5188,10,60,27,130,18,81,162,460,227,729,34,125,35,89,237,535,311,745,536,1468,64,145,2812,8583
SAL50897,11,21,0,0,0,0,0,0,6,15,6,15,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,18,42
SAL50898,58,113,4,11,8,32,0,10,44,179,52,229,0,5,0,0,13,38,14,42,69,278,0,0,5,8,0,0,4,0,4,8,0,3,0,0,0,5,0,10,9,17,0,5,136,412
SAL50899,27,49,0,8,0,0,0,8,16,86,21,104,0,4,0,0,5,15,3,15,26,116,0,19,0,10,5,12,7,20,13,64,0,0,0,0,10,18,10,18,21,74,3,9,77,258
SAL50900,6,18,0,0,0,0,0,0,3,10,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,35
SAL50901,56,115,3,25,0,26,5,11,22,98,31,154,3,17,7,13,21,54,26,87,64,240,0,0,0,9,0,0,3,4,8,15,0,0,0,0,3,6,5,12,14,25,0,0,130,381
SAL50902,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50903,856,1656,9,66,104,435,21,84,683,2561,823,3146,27,111,57,182,90,266,179,555,1000,3698,4,11,36,110,20,58,172,405,231,585,8,37,31,65,104,227,151,323,382,909,16,31,2252,6296
SAL50904,101,203,3,12,16,61,0,7,38,163,57,240,13,66,13,40,33,100,59,200,116,445,0,0,0,9,6,8,11,19,8,33,0,0,0,4,9,21,9,27,22,58,7,12,239,712
SAL50905,279,550,3,8,25,107,5,12,180,729,209,861,25,94,41,154,63,179,122,423,331,1282,0,0,7,33,0,4,25,59,34,97,0,3,5,19,29,61,42,89,74,186,11,19,691,2037
SAL50906,0,3,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
SAL50907,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13
SAL50908,7,22,0,0,0,4,0,0,7,26,10,35,0,0,0,0,0,0,0,0,6,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,55
SAL50909,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL50910,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL50911,189,372,3,23,23,109,10,44,120,458,155,639,21,74,7,21,49,150,73,244,231,885,0,10,3,23,3,12,24,77,35,113,5,14,4,10,21,53,29,73,68,189,6,13,493,1460
SAL50912,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,9,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19
SAL50913,33,68,0,0,4,11,4,9,12,49,12,68,3,7,0,3,0,9,3,12,23,80,0,0,0,0,0,0,0,4,0,4,0,5,0,0,4,10,3,10,6,15,0,0,55,160
SAL50914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50915,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13
SAL50916,25,51,0,0,7,11,0,0,15,57,14,69,0,0,0,5,0,9,7,9,22,79,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,43,131
SAL50917,1669,3230,6,31,82,353,12,51,736,2618,831,3057,22,79,92,318,92,303,204,693,1040,3751,0,7,23,80,4,17,215,483,245,588,8,28,41,84,123,254,175,365,421,957,86,175,3216,8115
SAL50918,6,10,0,0,0,3,0,0,5,17,6,26,0,9,0,0,0,5,0,13,8,40,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,19,55
SAL50919,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,4,3,4,4,8,7,0,0,8,16
SAL50920,394,765,22,120,39,187,17,97,315,1224,398,1633,19,76,19,62,63,189,99,330,498,1964,5,19,17,64,12,55,70,194,105,326,3,12,10,22,56,114,67,147,173,474,9,24,1075,3229
SAL50921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50922,932,1817,14,97,107,461,38,180,678,2546,840,3291,44,165,94,304,176,527,310,1004,1151,4289,6,39,26,96,26,98,180,494,241,720,22,54,34,76,113,246,166,377,409,1100,22,45,2509,7258
SAL50923,28,53,0,5,10,25,0,8,14,44,22,83,0,0,0,0,3,10,3,10,22,93,0,0,0,3,0,0,0,3,3,9,0,0,0,0,5,7,5,7,6,16,0,0,57,159
SAL50924,4,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
SAL50925,203,395,8,29,11,62,5,28,106,387,124,512,7,20,9,33,29,95,41,141,170,656,3,15,8,35,5,17,43,125,62,191,3,15,18,30,71,160,93,206,154,393,14,36,542,1480
SAL50926,62,119,0,0,4,18,4,18,32,119,39,159,0,10,0,0,6,9,3,14,43,173,0,0,0,16,10,34,16,65,31,118,3,10,0,3,5,19,11,31,40,147,11,20,155,462
SAL50927,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SAL50928,28,45,0,5,5,8,0,8,12,39,17,56,0,0,0,3,3,16,7,22,19,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,48,129
SAL50929,5,7,0,0,0,0,0,11,0,0,0,11,0,5,0,0,0,4,0,6,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25
SAL50930,25,52,0,0,0,6,0,0,6,23,6,30,3,9,3,11,0,14,12,27,13,60,0,0,0,0,0,0,5,14,5,14,0,0,0,0,0,0,0,0,3,14,0,0,52,127
SAL50931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50932,572,1135,8,62,86,390,10,48,481,1821,587,2312,53,219,96,345,130,409,284,974,867,3294,6,4,22,74,0,6,67,158,91,239,16,57,36,90,81,178,138,318,232,562,24,51,1698,5036
SAL50933,280,549,0,12,37,182,4,13,120,480,166,688,13,68,51,177,62,207,126,454,296,1139,0,0,3,11,0,0,9,27,16,47,0,0,9,26,23,45,34,74,50,120,5,12,625,1815
SAL50934,6,14,0,0,0,8,0,0,6,14,4,18,0,0,0,5,4,4,3,16,7,36,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,3,0,3,4,6,0,7,21,56
SAL50935,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SAL50936,12,19,0,0,0,3,0,0,5,20,6,23,0,4,0,0,3,9,6,4,9,30,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,0,3,0,4,3,0,3,27,57
SAL50937,7,16,0,0,4,7,0,0,3,19,7,27,0,0,0,0,0,3,0,3,10,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,14,46
SAL50938,284,552,5,28,25,107,4,32,160,599,197,767,7,12,7,23,35,113,49,154,244,918,0,5,10,24,10,38,37,106,58,173,0,0,5,12,38,79,42,88,97,261,8,12,632,1749
SAL50939,548,1067,12,94,40,191,24,110,294,1145,376,1538,25,112,31,103,80,264,140,477,516,2017,10,49,20,82,17,49,153,431,193,609,14,52,23,51,118,252,155,347,354,960,33,65,1445,4111
SAL50940,6,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,3,7,3,7,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,6,6,5,21
SAL50941,32,56,0,0,3,17,5,16,16,72,23,101,0,0,4,3,5,12,4,17,29,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,8,5,8,0,7,66,198
SAL50942,4,4,0,4,0,0,0,0,3,16,3,22,0,0,0,0,0,5,0,5,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,25
SAL50943,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,5,11
SAL50944,267,519,4,37,28,114,11,39,149,577,193,768,12,44,17,49,67,222,93,317,283,1084,3,17,9,36,6,29,66,184,87,262,4,14,7,21,83,171,97,209,181,468,15,32,747,2108
SAL50945,39,75,0,0,0,0,0,5,13,44,13,50,0,0,0,0,3,18,8,22,18,71,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,3,5,9,8,0,4,61,156
SAL50946,112,225,0,3,7,34,3,14,25,106,41,161,0,0,3,14,9,23,12,38,55,199,0,0,4,5,0,0,16,31,19,38,0,11,0,3,7,13,16,30,28,65,3,3,196,494
SAL50947,524,1044,0,17,17,92,11,47,253,895,286,1047,6,27,19,67,52,167,81,261,366,1310,0,10,14,49,12,51,168,407,206,512,11,36,36,84,159,337,211,452,410,972,63,125,1366,3448
